Song,Film/Album,Artists
Priye Praneshwari,Hum Tum Aur Woh,Kishore Kumar
Ruk Jana Nahin,Imtihan,Kishore Kumar
Ab Ke Sawan Mein Jee Dare,Jaise Ko Taisa,"Lata Mangeshkar, Kishore Kumar"
Tum Kitni Khoobsurat Ho,Jangal Mein Mangal,Kishore Kumar
Aasman Ke Neeche,Jewel Thief,"Lata Mangeshkar, Kishore Kumar"
Yeh Dil Na Hota Bechara,Jewel Thief,Kishore Kumar
Barah Baje Ki Suiyon Jaise,Jhoota Kahin Ka,"Kishore Kumar, Asha Bhosle"
Jeevan Ke Har Mod Pe Mil Jayenge,Jhoota Kahin Ka,"Kishore Kumar, Asha Bhosle"
Koi Hamdam Na Raha,Jhumroo,Kishore Kumar
Main Hoon Jhoom Jhoom Jhumroo,Jhumroo,Kishore Kumar
Thandi Hawa Yeh Chandni Suhani,Jhumroo,Kishore Kumar
Gir Gaya Jhumka Girne Do,Jugnu,"Lata Mangeshkar, Kishore Kumar"
Tera Peechha Na Chhodunga,Jugnu,Kishore Kumar
Ik Rasta Hai Zindagi,Kaala Patthar,"Lata Mangeshkar, Kishore Kumar"
Mal De Gulal,Kaamchor,"Kishore Kumar, Lata Mangeshkar"
Tujh Sang Preet,Kaamchor,"Kishore Kumar, Lata Mangeshkar"
Tum Se Badhkar,Kaamchor,"Kishore Kumar, Alka Yagnik"
Surma Mera Nirala,Kabhi Andhera Kabhi Ujala,Kishore Kumar
Pyar Kar Liya To Kya,Kabhi Kabhie,Kishore Kumar
Tera Phoolon Jaisa Rang,Kabhi Kabhie,"Lata Mangeshkar, Kishore Kumar"
Tere Chehre Se Nazar Nahin,Kabhi Kabhie,"Lata Mangeshkar, Kishore Kumar, Asha Bhosle"
Rafta Rafta,Kahani Kismat Ki,Kishore Kumar
Aap Yahan Aaye Kisliye,Kal Aaj Aur Kal,"Kishore Kumar, Asha Bhosle"
Bhanware Ki Gunjan,Kal Aaj Aur Kal,Kishore Kumar
Hum Jab Honge Saath Saal Ke,Kal Aaj Aur Kal,"Kishore Kumar, Asha Bhosle"
Na Jaiyo Pardes,Karma,"Kishore Kumar, Kavita"
Ek Hasina Thi Ek Diwana Tha,Karz,"Kishore Kumar, Asha Bhosle"
Main Solah Baras Ki,Karz,"Lata Mangeshkar, Kishore Kumar"
Meri Umar Ke Naujawano,Karz,Kishore Kumar
Paisa O Paisa,Karz,Kishore Kumar
Aaj Na Chhodenge,Kati Patang,"Lata Mangeshkar, Kishore Kumar"
Pyar Diwana Hota Hai,Kati Patang,Kishore Kumar
Yeh Jo Mohabbat Hai,Kati Patang,Kishore Kumar
Yeh Sham Mastani,Kati Patang,Kishore Kumar
Aao Mere Paas,Kaun Kaisey,Kishore Kumar
Woh Sham Kuchh Ajeeb Thi,Khamoshi,Kishore Kumar
Ae Lo Pyar Ke Din Aaye,Khel Khel Mein,"Asha Bhosle, Kishore Kumar"
Ek Main Aur Ek Tu,Khel Khel Mein,"Asha Bhosle, Kishore Kumar"
Khullam Khulla Pyar Karenge,Khel Khel Mein,"Asha Bhosle, Kishore Kumar"
Jeevan Mein Tu Darna Nahin,Khote Sikkay,Kishore Kumar
Disco 82,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
Gujarati Mein,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
Hat Ja Bajoo Nahin To Uda Doonga,Khud Daar,"Kishore Kumar, Sayed-Ul-Hasan"
Mach Gaya Shor,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
Oonche Neeche Raste,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
O Majhi Re Apna Kinara,Khushboo,Kishore Kumar
Jane Kya Sochkar,Kinara,Kishore Kumar
Mera Jeevan Kora Kagaz,Kora Kagaz,Kishore Kumar
Chana Jor Garam,Kranti,"Lata Mangeshkar, Mohammed, Rafi, Kishore Kumar, Nitin Mukesh"
Chhodo Sanam,Kudrat,"Kishore Kumar, Anette"
Hamen Tumse Pyar Kitna,Kudrat,Kishore Kumar
Apni To Jaise Taise,Laawaris,Kishore Kumar
Jiska Koi Nahin,Laawaris,Kishore Kumar
Kab Ke Bichhde Hue,Laawaris,"Asha Bhosle, Kishore Kumar"
Kahe Paise Pe,Laawaris,"Asha Bhosle, Kishore Kumar"
Chahiye Thoda Pyar,Lahu Ke Do Rang,Kishore Kumar
Muskurata Hua,Lahu Ke Do Rang,Kishore Kumar
Chanda O Chanda,Lakhon Me Ek,"Kishore Kumar, Lata Mangeshkar"
Geet Gata Hoon Main,Lal Patthar,Kishore Kumar
Kuchh Log Mohabbat Karke,Lava,Kishore Kumar
Meri Mehbooba,Maalik Tere Bande Hum,"Lata Mangeshkar, Kishore Kumar"
Ankhon Ankhon Mein,Mahal,"Asha Bhosle, Kishore Kumar"
Yeh Duniyawale Poochhenge,Mahal,"Asha Bhosle, Kishore Kumar"
Admi Jo Kahta Hai,Majboor,Kishore Kumar
Jadugar Tere Naina,Man Mandir,"Kishore Kumar, Lata Mangeshkar"
Gham Ka Fasana,Manchali,"Kishore Kumar, Leena Chandavarkar"
O Manchali Kahan Chali,Manchali,Kishore Kumar
Zaroorat Hai Zaroorat Hai,Man Mauji,Kishore Kumar
Rimjhim Gire Sawan,Manzil,Kishore Kumar
Tum Ho Mere Dil Ki Dhadkan,Manzil,Kishore Kumar
Chupke Se Dil Dede,Maryada,"Lata Mangeshkar, Kishore Kumar"
Gussa Itna Haseen Hai To,Maryada,Kishore Kumar
Mujhe Tum Yaad Karna,Mashaal,"Lata Mangeshkar, Kishore Kumar"
Zindagi Aa Raha Hoon Main,Mashaal,Kishore Kumar
Mere Diwanepan Ki Bhi Dawa Nahin,Mehboob Ki Mehndi,Kishore Kumar
Mere Naina Sawan Bhadon,Mehbooba,Kishore Kumar
Parbat Ke Peechhe,Mehbooba,"Lata Mangeshkar, Kishore Kumar"
Haal Chaal Thik Thak Hai,Mere Apne,"Kishore Kumar, Mukesh"
Koi Hota Jisko Apna,Mere Apne,Kishore Kumar
Chala Jata Hoon,Mere Jeevan Saathi,Kishore Kumar
Diwana Kar Ke Chhodoge,Mere Jeevan Saathi,"Lata Mangeshkar, Kishore Kumar"
Diwana Leke Aaya Hai,Mere Jeevan Saathi,"Kishore Kumar, Lata Mangeshkar"
Kitne Sapne Kitne Arman,Mere Jeevan Saathi,Kishore Kumar
O Mere Dil Ke Chain,Mere Jeevan Saathi,Kishore Kumar
Aaye Tum Yaad Mujhe,Mili,Kishore Kumar
Badi Sooni Sooni Hai Zindagi,Mili,Kishore Kumar
Gana Na Aaya,Miss Mary,Kishore Kumar
Pardesia,Mr.Natwarlal,"Lata Mangeshkar, Kishore Kumar"
Khoobsurat Hasina Jane Ja,Mr.X In Bombay,"Kishore Kumar, Lata Mangeshkar"
Mere Mehboob Qayamat Hogi,Mr.X In Bombay,Kishore Kumar
Jeevan Ke Safar Mein Rahi,Munimji,"Kishore Kumar, Asha Bhosle"
Muqaddar Ka Sikandar,Muqaddar Ka Sikandar,Kishore Kumar
O Saathi Re,Muqaddar Ka Sikandar,Kishore Kumar
Rote Hue Aate Hain Sab,Muqaddar Ka Sikandar,Kishore Kumar
Salame-Ishq Meri Jaan,Muqaddar Ka Sikandar,"Lata Mangeshkar, Kishore Kumar"
Munna Bada Pyara Ammi Ka Dulara,Musafir,Kishore Kumar
Aaj Rapat Jaayen To,Namak Halaal,"Kishore Kumar, Asha Bhosle"
Pag Ghunghroo Baandh,Namak Halaal,Kishore Kumar
Thodisi Jo Pee Lee Hai,Namak Halaal,Kishore Kumar
Diye Jalte Hai Phool Khilte Hai,Namak Haraam,Kishore Kumar
Main Shair Badnaam,Namak Haraam,Kishore Kumar
Nadiya Se Dariya,Namak Haraam,Kishore Kumar
Raah Pe Rahte Hain,Namkeen,Kishore Kumar
Ankhon Mein Kya Ji,Nau Do Gyarah,"Kishore Kumar, Asha Bhosle"
Ham Hain Rahi Pyar Ke,Nau Do Gyarah,Kishore Kumar
Chandni Re Jhoom,Nauker,Kishore Kumar
Pallu Latke,Nauker,"Asha Bhosle, Kishore Kumar"
Nakhrewali,New Delhi,"Asha Bhosle, Kishore Kumar"
Ankhiyon Hi Ankhiyon Men,Nishaan,"Lata Mangeshkar, Kishore Kumar"
Lahron Ki Tarah Yaaden,Nishaan,Kishore Kumar
Ek Chatur Naar Karke Sringar,Padosan,"Kishore Kumar, Manna Dey"
Kehna Hai Kehna Hai,Padosan,Kishore Kumar
Mere Bhole Balam,Padosan,Kishore Kumar
Mere Samnewali Khidki Mein,Padosan,Kishore Kumar
Aaj Unse Pehli Mulaqat Hogi,Paraya Dhan,Kishore Kumar
Dil Hai Mera Dil,Paraya Dhan,Kishore Kumar
Musafir Hoon Yaron,Parichay,Kishore Kumar
Sa Re Ke Sa Re,Parichay,"Asha Bhosle, Kishore Kumar"
Simti Si Sharmai Si,Parwana,"Asha Bhosle, Kishore Kumar"
Honthon Pe Jaan Chali Aayegi,Patita,Kishore Kumar
Teri Duniya Se Hoke Majboor Chala,Pavitra Papi,Kishore Kumar
Chhod Do Aanchal Zamana Kya Kahega,Paying Guest,"Kishore Kumar, Asha Bhosle"
Mana Janab Ne Pukara Nahin,Paying Guest,"Kishore Kumar, Asha Bhosle"
O Nigahe Mastana,Paying Guest,"Kishore Kumar, Lata Mangeshkar, Asha Bhosle"
Mannu Bhai Motor Chali Pum Pum,Phool Khile Hain,"Kishore Kumar, Asrani"
Main Tere Pyar Mein Pagal,Prem Bandhan,"Lata Mangeshkar, Kishore Kumar"
Chal Dariya Mein Doob Jayen,Prem Kahani,"Lata Mangeshkar, Kishore Kumar"
Yeh Lal Rang,Prem Nagar,Kishore Kumar
Phoolon Ke Rang Se,Prem Pujari,Kishore Kumar
Shokhiyon Mein Ghola Jaye,Prem Pujari,"Lata Mangeshkar, Kishore Kumar"
Bye Bye Miss Good Night,Premnagar,Kishore Kumar
Tum Bin Jaoon Kahan,Pyar Ka Mousam,Kishore Kumar
Goom Hai Kisi Ke Pyar Mein,Raampur Ka Lakshman,"Kishore Kumar, Lata Mangeshkar"
Raampur Ka Baasi Hoon,Raampur Ka Lakshman,Kishore Kumar
Main Ek Chor Tu Meri Rani,Raja Rani,"Lata Mangeshkar, Kishore Kumar"
Mere Sang Sang Aaya Teri Yaadon,Rajput,Kishore Kumar
Ek Rasta Do Rahi,Ram Balram,"Mohammed Rafi, Kishore Kumar"
Yaar Ki Khabar Mil Gai,Ram Balram,"Asha Bhosle, Kishore Kumar"
Dil Ki Baaten Dil Hi Jane,Roop Tera Mastana,"Lata Mangeshkar, Kishore Kumar"
Chhoti Si Yeh Duniya,Rungoli,Kishore Kumar
Ek Nazar Kisi Ne Dekha,Rungoli,"Lata Mangeshkar, Kishore Kumar"
Jeevan Se Bhari Teri Ankhen,Safar,Kishore Kumar
Zindagi Ka Safar,Safar,Kishore Kumar
Sala Main To Sahab Ban Gaya,Sagina,"Kishore Kumar, Pankaj Mitra"
Roop Yeh Tera Jisne Banaya,Sanjog,Kishore Kumar
Koi Ladki Mujhe Kal Raat,Seeta Aur Geeta,"Lata Mangeshkar, Kishore Kumar"
O Sathi Chal,Seeta Aur Geeta,"Asha Bhosle, Kishore Kumar"
Are Jane Kaise Kab Kahan Iqrar,Shakti,"Kishore Kumar, Lata Mangeshkar"
De De Pyar De,Sharaabi,Kishore Kumar
Intaha Ho Gai Intezar Ki,Sharaabi,"Kishore Kumar, Asha Bhosle"
Inteha Ho Gai,Sharaabi,"Kishore Kumar, Asha Bhosle"
Jahan Chaar Yaar Mil Jayen,Sharaabi,"Kishore Kumar, Amitabh Bachchan"
Manzilen Apni Jagah Hai,Sharaabi,Kishore Kumar
Mujhe Naulakha Mangawa De Re,Sharaabi,"Asha Bhosle, Kishore Kumar"
Neend Churake Raaton Mein,Shareef Badmaash,"Asha Bhosle, Kishore Kumar"
Aaj Madhosh Hua Jaye Re,Sharmilee,"Kishore Kumar, Lata Mangeshkar"
Kaise Kahen Ham,Sharmilee,Kishore Kumar
Khilte Hain Gul Yahan,Sharmilee,Kishore Kumar
O Meri Sharmilee,Sharmilee,Kishore Kumar
Yeh Dard Bhara Afsana,Shreeman Funtoosh,Kishore Kumar
Dekha Ek Khwab,Silsila,"Lata Mangeshkar, Kishore Kumar"
Ladki Hai Ya Shola,Silsila,"Lata Mangeshkar, Kishore Kumar"
Sar Se Sarke,Silsila,"Lata Mangeshkar, Kishore Kumar"
Mausam Pyar Ka,Sitamgar,"Asha Bhosle, Kishore Kumar"
Pyar Jab Na Diya Zindagi Ne Kabhi,Sitamgar,Kishore Kumar
Meri Pahle Hi,Souten,"Kishore Kumar, Anuradha Paudwal"
Shayad Meri Shaadi,Souten,"Lata Mangeshkar, Kishore Kumar"
Zindagi Pyar Ka Geet Hai,Souten,Kishore Kumar
Bheega Hua Aanchal,Tanhaai,Kishore Kumar
Jo Raah Chuni Tune,Tapasya,Kishore Kumar
Are Yaar Meri Tum Bhi Ho Ghazab,Yaadon Ki Baaraat,"Kishore Kumar, Asha Bhosle, Lata Mangeshkar"
Are Yaar Meri Tum Bhi Ho Ghazab,Teen Devian,"Kishore Kumar, Asha Bhosle"
Khwab Ho Tum Ya Koi Haqeeqat,Teen Devian,Kishore Kumar
Likha Hai Teri Ankhon Mein,Teen Devian,"Lata Mangeshkar, Kishore Kumar"
Pahle Pahle Pyar Ki Mulaqaten,The Great Gambler,"Kishore Kumar, Asha Bhosle"
Ankhon Men Humne Aapke Sapne,Thodi Si Bewafai,"Lata Mangeshkar, Kishore Kumar"
Hazaar Rahen,Thodi Si Bewafai,Kishore Kumar
Janeman Tum Kamal Karte Ho,Trishul,"Lata Mangeshkar, Kishore Kumar"
Mohabbat Bade Kaam Ki Cheez Hai,Trishul,"Lata Mangeshkar, Kishore Kumar, Yesudas"
Ruk Jana O Janan,Warrant,Kishore Kumar
Aap Ke Kamre Mein,Yaadon Ki Baaraat,"Asha Bhosle, Kishore Kumar"
Lekar Hum Diwana Dil,Yaadon Ki Baaraat,"Asha Bhosle, Kishore Kumar"
O Meri Soni Meri Tamanna,Yaadon Ki Baaraat,"Asha Bhosle, Kishore Kumar"
Yaadon Ki Baaraat,Yaadon Ki Baaraat,"Kishore Kumar, Mohammed Rafi"
