Song,Film/Album,Artists
Bekhudi Mein Sanam,Hasina Maan Jayegi,Lata Mangeshkar
Milo Na Tum To Ham Ghabraye,Heer Raanjha,Lata Mangeshkar
Bahut Door Mujhe Chale Jana Hai,Heera Panna,"Lata Mangeshkar, Kishore Kumar"
Panna Ki Tamanna Hai,Heera Panna,"Kishore Kumar, Lata Mangeshkar"
Anar Dana,Henna,Lata Mangeshkar
Bedardi Tere Pyar Ne,Henna,Lata Mangeshkar
Chitthiye,Henna,"Lata Mangeshkar, Manhar Udhas"
Main Hoon Khushrang Henna,Henna,Lata Mangeshkar
Nindiya Se Jagi Bahar,Hero,Lata Mangeshkar
Pyar Karne Wale,Hero,"Lata Mangeshkar, Manhar Udhas"
Ek Tu Na Mila Sari Duniya Mili,Himalay Ki God Mein,Lata Mangeshkar
Nainon Men Sapna,Himmatwala,"Kishore Kumar, Lata Mangeshkar"
Hai Tere Saath Meri Wafa,Hindustan Ki Kasam,Lata Mangeshkar
Phaili Hui Hai Sapnon Ki Bahen,House No 44,Lata Mangeshkar
Chocolate Lime Juice,Hum Aapke Hain Koun,Lata Mangeshkar
Didi Tera Devar Deewana,Hum Aapke Hain Koun,"Lata Mangeshkar, S.P.Balasubra-"
Hum Aapke Hain Koun,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
Hum Aapke Hain Koun,Hum Aapke Hain Koun,"Lata Mangeshkar, S.P.Balasubra-"
Mausam Ka Jaadu,Hum Aapke Hain Koun,"Lata Mangeshkar, S.P.Balasubra-"
Maye Ni Maye,Hum Aapke Hain Koun,Lata Mangeshkar
Mujhse Juda Hokar,Hum Aapke Hain Koun,"Lata Mangeshkar, S.P.Balasubra-"
Allah Tero Naam Ishwar Tero Naam,Hum Dono,Lata Mangeshkar
Prabhu Tero Naam Ishwar Tero Naam,Hum Dono,Lata Mangeshkar
Haye Re Haye,Humjoli,"Lata Mangeshkar, Mohammed"
Roz Sham Aati Hai Magar Aesi,Imtihan,Lata Mangeshkar
Aa Jaane-Jaan,Intaqam,Lata Mangeshkar
Geet Tere Saaz Ka,Intaqam,Lata Mangeshkar
Hum Tumhare Liye,Intaqam,Lata Mangeshkar
Kaise Rahoon Chup,Ishq Par Zor Nahin,Lata Mangeshkar
Kaise Rahoon Chup,Intaqam,Lata Mangeshkar
Yeh Dil Diwana Hai,,"Kishore Kumar, Lata Mangeshkar"
Yeh Dil Diwana Hai,Ishq Par Zor Nahin,Lata Mangeshkar
Ye Dil Tum Bin Lagta Nahin,Izzat,Lata Mangeshkar
Sare Rishte Naate Todke Aai,Jaani Dushman,Lata Mangeshkar
Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile,Lata Mangeshkar
Sau Saal Pahle,Jab Pyar Kisi Se Hota Hai,Lata Mangeshkar
Uff Umma,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
Woh Chup Rahen To Mere,Jahan Ara,Lata Mangeshkar
Ab Ke Sawan Mein Jee Dare,Jaise Ko Taisa,"Lata Mangeshkar, Kishore Kumar"
Aa Mere Humjoli Aa,Jeene Ki Raah,Lata Mangeshkar
Jhilmil Sitaron Ka Angan Hoga,Jeevan Mrityu,Lata Mangeshkar
Aasman Ke Neeche,Jewel Thief,"Lata Mangeshkar, Kishore Kumar"
Dil Pukare Aare Aare,Jewel Thief,Lata Mangeshkar
Rula Ke Gaya,Jewel Thief,Lata Mangeshkar
Do Ghoont Mujhe Bhi Pila De,Jheel Ke Us Paar,Lata Mangeshkar
Unse Mili Nazar Ke Mere Hosh Ud Gai,Jhuk Gaya Aasman,Lata Mangeshkar
O Basanti Pavan Pagal,Jis Desh Men Ganga,Lata Mangeshkar
Gir Gaya Jhumka Girne Do,Jugnu,"Lata Mangeshkar, Kishore Kumar"
Din Sara Guzara Tore Angana,Junglee,Lata Mangeshkar
Kashmir Ki Kali Hoon Main,Junglee,Lata Mangeshkar
Sawan Ke Jhoole Pade,Jurmana,Lata Mangeshkar
Thoda Resham Lagta Hai,Jyoti,Lata Mangeshkar
Bahon Mein Teri Masti Ke Ghere,Kaala Patthar,Lata Mangeshkar
Ik Rasta Hai Zindagi,Kaala Patthar,"Lata Mangeshkar, Kishore Kumar"
Mal De Gulal,Kaamchor,"Kishore Kumar, Lata Mangeshkar"
Tujh Sang Preet,Kaamchor,"Kishore Kumar, Lata Mangeshkar"
Kabhi Kabhi Mere Dil Mein,Kabhi Kabhie,"Lata Mangeshkar, Mukesh"
Mere Ghar Aai Ek Nanhi Pari,Kabhi Kabhie,Lata Mangeshkar
Surkh Jode Ki Yeh Jagmagahat,Kabhi Kabhie,Lata Mangeshkar
Tera Phoolon Jaisa Rang,Kabhi Kabhie,"Lata Mangeshkar, Kishore Kumar"
Tere Chehre Se Nazar Nahin,Kabhi Kabhie,"Lata Mangeshkar, Kishore Kumar"
Laagi Chhoote Na Ab To Sanam,Kali Topi Lal Rumal,Mohammed Rafi
Ja Re Ja O Harjaee,Kalicharan,Lata Mangeshkar
Main Solah Baras Ki,Karz,"Lata Mangeshkar, Kishore Kumar"
Aaj Na Chhodenge,Kati Patang,"Lata Mangeshkar, Kishore Kumar"
Na Koi Umang Hai,Kati Patang,Lata Mangeshkar
Hamne Dekhi Hai Un Ankhon Ki,Khamoshi,Lata Mangeshkar
Tumhin Meri Mandir,Khandan,Lata Mangeshkar
Disco 82,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
Gujarati Mein,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
Mach Gaya Shor,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
Oonche Neeche Raste,Khud Daar,"Kishore Kumar, Lata Mangeshkar"
Do Nainon Mein Ansoo Bhare Hai,Khushboo,Lata Mangeshkar
Abke Na Sawan Barse,Kinara,Lata Mangeshkar
Naam Goom Jayega,Kinara,Lata Mangeshkar
Do Sitaron Ka Zameen Par,Kohinoor,Lata Mangeshkar
Jhoom Jhoom Dhalti Raat,Kohraa,Lata Mangeshkar
Chana Jor Garam,Kranti,"Lata Mangeshkar, Mohammed, Rafi, Kishore Kumar, Nitin Mukesh"
Mara Thumka,Kranti,Lata Mangeshkar
Zindagi Ki Na Toote Ladi,Kranti,"Lata Mangeshkar, Nitin Mukesh"
Tune O Rangeele,Kudrat,Lata Mangeshkar
Husn Hazir Hain,Laila Majnu,Lata Mangeshkar
Is Reshmi Paazeb Ki Jhankar,Laila Majnu,Lata Mangeshkar
Chanda O Chanda,Lakhon Me Ek,"Kishore Kumar, Lata Mangeshkar"
Chudiyan Khanak Gayeen,Lamhe,"Lata Mangeshkar, Ila Arun"
Gudiya Rani,Lamhe,Lata Mangeshkar
Kabhi Main Kahoon,Lamhe,"Lata Mangeshkar, A.Hariharan"
Meri Bindiya,Lamhe,Lata Mangeshkar
Tere Husn Ki Kya Tarif Karun,Leader,Lata Mangeshkar
Kesariya Balma,Lekin,Lata Mangeshkar
Main Ek Sadi Se,Lekin,Lata Mangeshkar
Sunio Ji Ek Araj,Lekin,Lata Mangeshkar
Yara Seeli Seeli,Lekin,Lata Mangeshkar
Silli Hawa Chhoo Gai,Libaas,Lata Mangeshkar
Main Tere Ishq Mein,Loafer,Lata Mangeshkar
Mujhe Tum Mil Gaye Humdum,Love In Tokyo,Lata Mangeshkar
Dheere Dheere Chal Chand,Love Marriage,Lata Mangeshkar
Dekho Maine Dekha Hai Ek Sapna,Love Story,"Lata Mangeshkar, Amit Kumar"
Kaisa Tera Pyar,Love Story,"Lata Mangeshkar, Amit Kumar"
Teri Yaad Aa Rahi Hai,Love Story,"Lata Mangeshkar, Amit Kumar"
Meri Mehbooba,Maalik Tere Bande Hum,"Lata Mangeshkar, Kishore Kumar"
Aaja Re Pardesi,Madhumati,Lata Mangeshkar
Dil Tadap Tadap Ke Kah Raha,Madhumati,"Lata Mangeshkar, Mukesh"
Ghadi Ghadi Mera Dil Dhadke,Madhumati,Lata Mangeshkar
Zulmi Sang Ankh Ladi Re,Madhumati,Lata Mangeshkar
Aayega Aanewala,Mahal,Lata Mangeshkar
Tumhi Ho Mata Pita Tumhi Ho,Main Chup Rahungi,Lata Mangeshkar
Chhap Tilak Sab Chhini Re,Main Tulsi Tere Aangan Ki,"Lata Mangeshkar, Asha Bhosle"
Main Tulsi Tere Aangan Ki,Main Tulsi Tere Aangan Ki,Lata Mangeshkar
Aaja Sham Hone Aayee,Maine Pyar Kiya,"Lata Mangeshkar, S.P. Balasubramaniam"
Aate Jaate Hanste Gaate,Maine Pyar Kiya,"Lata Mangeshkar, S.P.Balasubramaniam"
Dil Deewana,Maine Pyar Kiya,Lata Mangeshkar
Kabootar Ja Ja Ja,Maine Pyar Kiya,"Lata Mangeshkar, S.P.Balasubramaniam"
Rahen Na Rahen,Mamta,Lata Mangeshkar
Chala Bhi Aa Aaja Rasiya,Man Ki Aankhen,Mohammed Rafi
Jadugar Tere Naina,Man Mandir,"Kishore Kumar, Lata Mangeshkar"
Main To Tum Sang Nain Milake,Man Mauji,Lata Mangeshkar
Chupke Se Dil Dede,Maryada,"Lata Mangeshkar, Kishore Kumar"
Mujhe Tum Yaad Karna,Mashaal,"Lata Mangeshkar, Kishore Kumar"
Tujhse Naraz Nahin Zindagi,Masoom,Lata Mangeshkar
Chhadi Re Chhadi,Mausam,Lata Mangeshkar
Dil Dhundta Hai,Mausam,Lata Mangeshkar
Ruke Ruke Se Qadam,Mausam,Lata Mangeshkar
Tasveer Teri Dil Mein,Maya,Lata Mangeshkar
Itna To Yaad Hai Mujhe,Mehboob Ki Mehndi,"Kishore Kumar, Lata Mangeshkar, Mohammed Rafi"
Jane Kyon Log Mohabbat Kiya,Mehboob Ki Mehndi,Lata Mangeshkar
Parbat Ke Peechhe,Mehbooba,"Lata Mangeshkar, Kishore Kumar"
Gori Ke Haath Mein,Mela,Mohammed Rafi
Rut Hai Milan Ki,Mela,Mohammed Rafi
Mera Saaya Saath Hoga,Mera Saaya,Lata Mangeshkar
Nainon Mein Badra Chhaye,Mera Saaya,Lata Mangeshkar
Tu Jahan Chalega,Mera Saaya,Lata Mangeshkar
Chalo Sajna Jhahan Tak,Mere Hamdam Mere Dost,Lata Mangeshkar
Kisi Raah Men Kisi Mod Par,Mere Humsafar,"Lata Mangeshkar, Mukesh"
Diwana Kar Ke Chhodoge,Mere Jeevan Saathi,"Lata Mangeshkar, Kishore Kumar"
Yaad Men Teri Jaag Jaag Ke Hum,Mere Mehboob,Lata Mangeshkar
Aaj Dil Pe Koi Zor Chalta Nahin,Milan,Lata Mangeshkar
Sawan Ka Mahina,Milan,"Lata Mangeshkar, Mukesh"
Maine Kaha Phoolon Se,Mili,Lata Mangeshkar
Brindaban Ka Krishna Kanhaiya,Miss Mary,Lata Mangeshkar
O Raat Ke Musafir,Miss Mary,Lata Mangeshkar
Pardesia,Mr.Natwarlal,"Lata Mangeshkar, Kishore Kumar"
Khoobsurat Hasina Jane Ja,Mr.X In Bombay,"Kishore Kumar, Lata Mangeshkar"
Ae Ishq Yeh Sab Duniyawale,Mughal-E-Azam,Lata Mangeshkar
Bekas Pe Karam Kijiye,Mughal-E-Azam,Lata Mangeshkar
Khuda Nigheban Ho,Mughal-E-Azam,Lata Mangeshkar
Mohabbat Ki Jhooti Kahani,Mughal-E-Azam,Lata Mangeshkar
Mohe Panghat Pe,Mughal-E-Azam,Lata Mangeshkar
Pyar Kiya To Darna Kya,Mughal-E-Azam,Lata Mangeshkar
Teri Mehfil Mein Kismat Azmakar,Mughal-E-Azam,Lata Mangeshkar
Raat Bhi Hai Kuchh Bheegi Bheegi,Mujhe Jeene Do,Lata Mangeshkar
Dil To Hai Dil,Muqaddar Ka Sikandar,Lata Mangeshkar
Pyar Zindagi Hai,Muqaddar Ka Sikandar,"Lata Mangeshkar, Asha, Bhosle, Mahendra Kapoor"
Salame-Ishq Meri Jaan,Muqaddar Ka Sikandar,"Lata Mangeshkar, Kishore Kumar"
Veriya Ve Kiya Kya Qasoor Maine,Naam,Lata Mangeshkar
Man Dole Mera Tan Dole,Nagin,Lata Mangeshkar
Ankhiyon Hi Ankhiyon Men,Nishaan,"Lata Mangeshkar, Kishore Kumar"
Aaja Re O Mere Dilbar Aaja Part,Noorie,"Lata Mangeshkar, Nitin Mukesh"
Chori Chori Koi,Noorie,Lata Mangeshkar
Khamoshiyan Gangunane Lagi,One Two Ka Four,"Lata Mangeshkar, Sonu Nigam"
Bhai Battur,Mr.Natwarlal,"Lata Mangeshkar, Kishore Kumar"
Bhai Battur,Padosan,Lata Mangeshkar
Main Chali Main Chali,Padosan,"Lata Mangeshkar, Asha Bhosle"
Chalo Dildar Chalo,Pakeezah,Mohammed Rafi
Chalte Chalte Yun Hi Koi,Pakeezah,Lata Mangeshkar
Inhin Logon Ne,Pakeezah,Lata Mangeshkar
Mausam Hai Ashiqana,Pakeezah,Lata Mangeshkar
Thare Rahiyo O Banke Yaar,Pakeezah,Lata Mangeshkar
Chalo Dildar Cholo,Pakeezah Rang Barang,Lata Mangeshkar
Hansta Hua Noorani Chehra,Parasmani,"Lata Mangeshkar, Kamal Barot"
Woh Jab Yaad Aaye,Parasmani,Lata Mangeshkar
Chand Phir Nikla Magar Tum Na Aaye,Paying Guest,Lata Mangeshkar
Kahin Karti Hogi Woh Mera Intezar,Phir Kab Milogi,"Lata Mangeshkar, Mukesh"
Yeh Zulf Kaisi Hai,Piya Ka Ghar,Lata Mangeshkar
Main Tere Pyar Mein Pagal,Prem Bandhan,"Kishore Kumar, Lata Mangeshkar"
Chal Dariya Mein Doob Jayen,Prem Kahani,"Lata Mangeshkar, Kishore Kumar"
