Song,Film/Album,Artists
Sei Meyetir Nayan Duti,,Tarun Banerjee
Sei Meyetir Nayan Duti,Golden Hour Tarun Banerjee,Tarun Banerjee
Hazar Janam Dhore Tomari Chhilam,Halka Megher Palki,Manabendra Mukherjee
Mukto Chhara Neiko Kanya,Halka Megher Palki,Manabendra Mukherjee
Mone Porle,Hawa Bodol,Arijit Singh
"Na Jeyo Na, Jeyo Na Ko",Hemanta Mukherjee Legends,Hemanta Mukherjee
Mayabini,Hits Of 2007,"Zubeen Garg, Kalpana"
Nil Padmer Katha,Hits Of 2007,Srikanto Acharya
Tumi,Hits Of 2007,Zubeen Garg
Tumi Ki Amar Sei,Hits Of 2007,Manomay Bhattacharya
Sona Sona Hasi Mukhe,Hits Of Amit Kumar,Amit Kumar
Amar Bhalobasar Galpo,Hits Of Kumar Sanu,Kumar Sanu
Chirodin Tomake,Hits Of Kumar Sanu,Kumar Sanu
Elo Sei Raat,Hits Of Kumar Sanu,Kumar Sanu
Ghoom Ghoom Oi Chand,Hits Of Kumar Sanu,Kumar Sanu
Jhalmal Jhalmal Tanter Shari,Hits Of Kumar Sanu,Kumar Sanu
Jibane Swapna Achhe,Hits Of Kumar Sanu,Kumar Sanu
Mone Pore Choitali Godhulibela,Hits Of Kumar Sanu,Kumar Sanu
Thamle Kano Je Balona,Hits Of Kumar Sanu,Kumar Sanu
Tomar Dheu Tolano Hansi,Hits Of Kumar Sanu,Kumar Sanu
Tomra Asbe To,Hits Of Kumar Sanu,Kumar Sanu
Ami Je Mando Tate Sangini Go,Hits Of Manabendra,"Mukherjee, Manabendra Mukherjee"
Rag Kore Aar Ki Habe,Ichchhe Korei Eksathe,Bappa Mazumder
Jata Gaan Gai,Indrani Sen Chena,Indrani Sen
Akash Neel Sagaro Neel,,Indranil Sen
Akash Neel Sagaro Neel,Indranil Sen Aha Chandrabali,Indranil Sen
Tomar Sange Dekha Na Hole,,Jatileswar Mukherjee
Tomar Sange Dekha Na Hole,Jatileswar Mukherjee Kathay,Jatileswar Mukherjee
Prithibi Takiye Dekho,Jiban Rahasya,Manna Dey
