Song,Film/Album,Artists
Na Na Na Dhakete Bol Tulo Na,Jhiri Jhiri Batas Kande,Shyamal Mitra
Ruper Garabini,Jhiri Jhiri Batas Kande,Shyamal Mitra
Tharo Tharo Drishti,Jhiri Jhiri Batas Kande,Shyamal Mitra
Chand Tumi Chiro Sundar,Jhiri Jhiri Batas Kande,Shyamal Mitra
Kalam Jemani Hok,Jhiri Jhiri Batas Kande,Shyamal Mitra
Prithibita Sundar Tumi Sundar Bale,Jhiri Jhiri Batas Kande,Shyamal Mitra
Prithibita Sundar Tumi Sundar Bale,Bengali Duets Shyamal Mitra,Shyamal Mitra
Tomari Banka O Chokh,Jiban Jignasa,Shyamal Mitra
Amar E Pran Holo,Jibon Maran,Shyamal Mitra
Hisaber Khata Bhore,Kajal,Shyamal Mitra
Sohani Raat Phire Pabo Ki,Kalankini,"Asha Bhosle, Shyamal Mitra"
O Mon Kakhan Shuru,Kamallata,"Shyamal Mitra, Sandhya Mukherjee"
Se Bine Aar Jane Na,Kamallata,"Shyamal Mitra, Sandhya Mukherjee"
"Bidhire, Ei Kheya",Kheya,"Shyamal Mitra, Hemanta Mukherjee"
Deko Na More Deko Na Go,Lal Pathar,"Shyamal Mitra, Sabita Chowdhury"
Sundar Natabar Khelata Holi,Maa O Meye,"Shyamal Mitra, Manabendra Mukherjee"
E Akash Nadi Prantar,Maatir Putul,Sandhya Mukherjee
Madhu Swapne Gara,Mayar Sansar,Sandhya Mukherjee
Kato Gaan Majh Pathe,Mayer Ashirbad,Shyamal Mitra
Tomra Jago,Megh Bristi Rode,Shyamal Mitra
Oi Anka Banka Je Path,More Gems From,Shyamal Mitra
Bhiru Bhiru Chokhe Cheye Chole Gele,More Gems From,Shyamal Mitra
Naam Rekhechhi Bonolata,More Gems From,Shyamal Mitra
Chhipkhan Teen Dnar,Music By Abhijit Banerjee,"Shyamal Mitra, Chorus"
Dur Noy Beshi Dur Oi,Music Of Salil Chowdhury,Shyamal Mitra
Jodi Kichhu Amare Shudhao,Music Of Salil Chowdhury,Shyamal Mitra
Kato Deri O Madhobi,Naam Rekhechhi Bonolata,Shyamal Mitra
Rajar Pankhi Uira Gele,Nishipadma,Shyamal Mitra
Bondhu Paran Bihanga Kande Re,Padma Chokher Nil Jamunay,
Jemon Sreeradha Kande,Panna Heerey Chuni,Shyamal Mitra
Ke Jane Kobe Abar,Panna Heerey Chuni,Shyamal Mitra
Prithibi Amay Dao Go Bole,Panna Heerey Chuni,Shyamal Mitra
Keu Noy Saheb Bibi,Prithibi Amare Chay,"Shyamal Mitra, Alpana Banerjee"
O Majhi Re,Raat Bhor,Shyamal Mitra
Dhinik Ta Ta Dholak Baje,Rajkanya,"Asha Bhosle, Shyamal Mitra"
E Jeno Ajana Ek Path,Rajkanya,Shyamal Mitra
Keno Janina Je Benu Baje,Rajkanya,"Shyamal Mitra, Asha Bhosle"
Kothao Amar Nei Samay Thamar,Rajodrohi,Shyamal Mitra
Je Jaat Patni Hoy,Rakta Jaba,Shyamal Mitra
Ogo Chand Ghumale Ki,Rakta Rekha,Shyamal Mitra
Kanyere O Chokhe Tor,Rupasi,Shyamal Mitra
"Probhu, Tomar Byatha",Sachimar Sangsar,Shyamal Mitra
Amar Shwapne Dekha Rajkanya,Sagarika,Shyamal Mitra
Kato Phaguner Madhuri,Saharer Itikatha,Shyamal Mitra
Amar Chhande Bhara,Sakher Chor,Shyamal Mitra
Mayer Haater Shukno Muri,Sanssarer Itikatha,Shyamal Mitra
Chaitali Chand Jak Dube Jak,Sediner Sonajhara Sandhya,Shyamal Mitra
Oi Jhiri Jhiri Piyaler Kunje,Sera Pujor Gaan,Shyamal Mitra
Tomar Oi Dhupchhaya Rang,Sera Pujor Gaan Shymal,Shyamal Mitra
Ki Name Deke Bolbo Tomake,Sera Shilpi Sera Gaan,Shyamal Mitra
Mone Hoy Je Nodita,Shyamal Keno Dako,Shyamal Mitra
Shesh Katha Aaji Bole Jao,Shyamal Mitra Bengali,Shyamal Mitra
Bhalobasho Tumi Sunechhi Anekbaar,Shyamal Mitra Jadi,Shyamal Mitra
Ekdin Ei Ghare,Sindur,Shyamal Mitra
Amra Sabai Bangali,Songs By Shyamal Mitra,"Shyamal Mitra, Chorus"
Hangsa Pakha Diye Klanta Raater,Songs For The,Shyamal Mitra
Tomari Pathpane Chahi,Songs To Remember,Shyamal Mitra
Neel Jamunay Tamalbone,Srikrishna Sudama,Shyamal Mitra
Elomelo Haowa,Tahole,Shyamal Mitra
Maathar Binunee Duti Jeno,Tar Aar Par Nei,Shyamal Mitra
Mon Amar Tui Sonar Horin,Teer Bhanga Dheu,Shyamal Mitra
Smriti Tumi Bedona,Tomar Darpane Ami,"Shyamal Mitra, Sulakshana Pandit"
Asha Bandhe Ghar,Tridhara Shyamal Mitra,Shyamal Mitra
Kato Dur Kato Dur,Tridhara Shyamal Mitra,"Shyamal Mitra, Chorus"
Mon Metechhe Nil Akashe,Tridhara Shyamal Mitra,Shyamal Mitra
Tumi Rupasi Rupanjana,Tridhara Shyamal Mitra,Shyamal Mitra
Din Chale Jay,Upahar,Shyamal Mitra
