Song,Film/Album,Artists
Dil Kehta Hai,Akele Hum Akele Tum,Kumar Sanu
Dil Mera Churaya Kyun,Akele Hum Akele Tum,"Kumar Sanu, Alka Yagnik"
Raja Ko Rani Se Pyaar,Akele Hum Akele Tum,Kumar Sanu
Haiya Hoo Kya Masti,Albela,"Kumar Sanu, Udit Narayan, Alka Yagnik"
Kaho To Zara,Albela,Kumar Sanu
Daloonga Daloonga Pyar Se,Amaanat,"Kumar Sanu, Alka Yagnik, Ila Arun, Kavita Krishnamurthy"
Din Mein Leti,Amaanat,Kumar Sanu
Gori Gori Gori,Amaanat,Kumar Sanu
Ho Gaya Ji Ho Gaya,Amaanat,Kumar Sanu
Is Duniya Mein Jo Bhi Hota Hai,Amaanat,Kumar Sanu
Tumse Milna Milkar Chalna,Amaanat,Kumar Sanu
Jabse Dekha Maine Tumko,Amir Salman Shahrukh,"Kumar Sanu, Lalitya Munshaw"
Aaye Barati,Anaam,Kumar Sanu
Churi Boli Paayal Bole,Anaam,"Kumar Sanu, Alka Yagnik"
Hum Nasheen Dilrubaa,Anaam,"Kumar Sanu, Sadhana Sargam"
Mein Kaun Mein Kya,Anaam,Kumar Sanu
Pyar Mein Dil De Diya,Anari,"Kumar Sanu, Alka Yagnik"
Le Aaya Hoon,Anari No.1,"Kumar Sanu, Preeti Uttam"
Kisise Tum Pyar Karo,Andaaz,Kumar Sanu
Kitna Pagal Dil Hai,Andaaz,"Kumar Sanu, Alka Yagnik"
Dil Ka Panchi Bole,Andaz,"Kumar Sanu, Alka Yagnik, Kavita Krishnamurthy"
Laila Bechari Ka Karti,Andaz,Kumar Sanu
Lelo Lelo Mera Imtihan,Andaz,Kumar Sanu
Main Apni Zindagi,Andaz Tera Mastana,Kumar Sanu
Tum Mujhe Itna Pyar,Andaz Tera Mastana,"Kumar Sanu, Alka Yagnik"
Aayegi Har Pal Tujhe,Andolan,Kumar Sanu
Dil Hamne Diya,Andolan,Kumar Sanu
Dil To Khoya Hai,Andolan,"Kumar Sanu, Udit Narayan, Alka Yagnik, Sapna Mukherjee"
Kitne Dino Ke Baad,Andolan,Kumar Sanu
Mujhe To Hone Laga,Andolan,Kumar Sanu
Nazar Mein Tu,Andolan,Kumar Sanu
Aaja Gori Banki Chhori,Angaara,"Kumar Sanu, Kavita Krishnamurthy"
Jeevan Hai Sangram Bande,Angaara,Kumar Sanu
Dil Mera Churane Laga,Angrakshak,"Kumar Sanu, Alka Yagnik"
Dil Mera Udaas Hai (Male),Angrakshak,Kumar Sanu
Aankhon Mein Tum Ho,Ankhon Mein Tum Ho,"Kumar Sanu, Alka Yagnik, Anuradha Paudwal"
Hum Kahe Na Kahe,Ankhon Mein Tum Ho,Kumar Sanu
Maine Sawan Se Kaha,Ankhon Mein Tum Ho,Kumar Sanu
Choti Choti Kasmein,Ankush: The Command,"Kumar Sanu, Soma Banerjee"
Deewana Dil Na Jaane,Ankush: The Command,Kumar Sanu
Kabhi Main Filmon Mein,Anmol,Kumar Sanu
Tum Se Mil Ke,Anna Ka Andolan,"Kumar Sanu, Juhi Deshmukh"
Mahfil Mein Sitaron Ki,Anokha Andaaz,"Kumar Sanu, Alka Yagnik"
Mausam Aashiqana Hai,Anokha Andaaz,Kumar Sanu
Tu Deewana Paagal,Anokha Andaaz,Kumar Sanu
Hum Apni Taraf Se,Ansh: The Deadly Part,"Kumar Sanu, Alka Yagnik"
Jaane Jaa Dil Na Jala,Anth,"Kumar Sanu, Kavita Krishnamurthy, Sadhana Sargam"
Tu Deewani Main Deewana,Anth,Kumar Sanu
Ye Nigahein Lab Nasheele,Aparichit Shakti,Kumar Sanu
Dekh Phuljadi,Apmaan Ki Aag,Kumar Sanu
Tum Jo Rahoge Bas Khwaab Banke,Apne Dam Par,"Kumar Sanu, Vijayta Pandit"
O Priya,Arjun Pandit,"Kumar Sanu, Alka Yagnik"
Dil Mein Kuch Hone Laga,Army,"Kumar Sanu, Sadhana Sargam"
Jiya Pyar Mange Jiya,Asmaan Se Ooncha,"Kumar Sanu, Sadhna Sargam"
Zindagi Se Jab Mile,Asmaan Se Ooncha,"Kumar Sanu, Sadhna Sargam, Abhijeet Bhattacharya, Anwar, Sarika Kapoor"
Dil Tujhko De Diya,Aulad Ke Dushman,"Kumar Sanu, Alka Yagnik, Sadhana Sargam"
Main Tera Deewana Hoon,Aulad Ke Dushman,Kumar Sanu
Maine Tumse Pyar Kiya,Aulad Ke Dushman,Kumar Sanu
Tum Bhi Ho Bekhabar,Aulad Ke Dushman,Kumar Sanu
Chin China China,Aunty No. 1,"Kumar Sanu, Udit Narayan, Sadhana Sargam, Poornima"
Dil Ke Sau Tukde,Auzaar,Kumar Sanu
Thahra Hai Yeh Sama,Auzaar,Kumar Sanu
Tujhe Khas Fursat Mein,Auzaar,"Kumar Sanu, Chandna Dixit, Udit Narayan, Alka Yagnik"
Rahegi Rahegi (Sad),Awaragardi,Kumar Sanu
