Song,Film/Album,Artists
Je Jan Premer Bhab Janena,Ishtishaner Railgadita,Runa Laila
Sadher Lau Banaila More Bairagi,Ishtishaner Railgadita,Runa Laila
Aay Re O Aay Re,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Prem Jane Na Rasik Kalachand,Kichhu Katha Bengali Folk,Nirmalendu Chowdhury
Amar Ghorer Chhabi Porer Hate,Lalan Bole Debalina Sinha,"Purnadas Baul, Debalina Sinha Roy"
Dine Dine,Lalan Fakirer Gaan,Arundhati Holme Chowdhury
Sabai Bole Lalan Fakir,Lalan Fakirer Gaan,Chhabi Banerjee
Amar Moner Manusher Sone,Lalan Fakirer Gaan,Pratima Banerjee
Bede Ki Tar Marma Jane,Lalan Fakirer Gaan,Manju Das
Chande Chande Chandragrohan Hoy,Lalan Fakirer Gaan,Anup Ghoshal
Ek Phule Char Rang Dhorechhe,Lalan Fakirer Gaan,Dinendra Chowdhury
Jat Gelo Jat,Lalan Fakirer Gaan,Farida Parveen
Jedin Hindu Musalman,Lalan Fakirer Gaan,Malay Ghosh
Mon Amar Ki Chhar Gourab Korchho,Lalan Fakirer Gaan,Dinendra Chowdhury
Poriye Kopni Dhwaja,Lalan Fakirer Gaan,Farida Parveen
Sain Amar Kakhan Khele Ki Khela,Lalan Fakirer Gaan,Arundhati Holme Chowdhury
Samay Gele Sadhan Hobe Na,Lalan Fakirer Gaan,Farida Parveen
Pan Dilam Supari Dilam,,Lopamudra Mitra
Pan Dilam Supari Dilam,Lopamudra And Tapan And,Lopamudra Mitra
Dublo Re Tor Manab Tari,Majhi Baiya Jao,Amar Paul
Majhi Baiya Jaore,Majhi Baiya Jao,Abbasuddin Ahmed
"Mon Baul,Baul Mon Re",Mon Ujan Sahaj Ma,Sarmistha Das Podder
Aay Dekhe Ja Tora,Moner Manush Bengali Folk,Purnadas Baul
Se Aabar Kemon Pagal,Moner Manush Bengali Folk,"Amar Paul, Purnadas Baul"
Leela Bali Leela Bali,Moner Manusher Sane,Bipasa Mitra
Matir Pinjiray Hasan,Nemai Dnarare,Amar Paul
Matir Pinjiray Hasan,Orom Takiyo Na,"Nirmalendu Chowdhury, Party"
Ami Bondhur Premagune Pora,Nimantran,Nirmalendu Chowdhury
Sagar Kuler Naiya Re,Nirmalendu Chowdhury Folk,"Nirmalendu Chowdhury, Party"
Amare Banaile Piriter Diwana,Nirmalendu Chowdhury,Nirmalendu Chowdhury
Ghate Keu Chhilona,Nirmalendu Chowdhury,Nirmalendu Chowdhury
Loke Bale Bale Re,Nirmalendu Chowdhury,Nirmalendu Chowdhury
Phande Poria Baga Kande Rey,O Amar Desher Mati,Lata Mangeshkar
O Sadher Boshtumi,O Sadher Boshtumi Prahlad,Prahlad Brahmachari
Emon Manab Janam,Orom Takiyo Na,Bhoomi
Kaancha Handite,Orom Takiyo Na,Bhoomi
Kapaler Dosh Diye,Orom Takiyo Na,Bhoomi
Majhi Chintae,Orom Takiyo Na,Bhoomi
O Dadabhai,,Bhoomi
O Dadabhai,Orom Takiyo Na,Bhoomi
Raat Perolei,Orom Takiyo Na,Bhoomi
Sohag Chand,Orom Takiyo Na,Bhoomi
Teesta Parey,Orom Takiyo Na,Bhoomi
Dil Dariyar Majhe Re Bhai,Padmar Majhe,Haradhan Das Baul
Sabe Bale Lalan Fakir,Pakhi Kakhano Ure Jai,Amar Paul
Amar Ma Bailechhe,Parikshit Bala Baghe,Parikshit Bala
Keu Pirit Jane Na,Kato Raginir Bhul Bhangate,Parikshit Bala
Keu Pirit Jane Na,Orom Takiyo Na,Parikshit Bala
Keu Pirit Jane Na,Parikshit Bala Baghe,Parikshit Bala
Kilaile Pnakena Knathal,Parikshit Bala Baghe,Parikshit Bala
Thelai Na Parle Biral,Parikshit Bala Baghe,Parikshit Bala
Hatir Dnater Palangka Tor,Parikshit Bala Baghe,Parikshit Bala
Shuno Shuno Mahasay,Phuleshwari,"Manna Dey, Chorus"
Joy Radhe Gobindo Balo,Pran Bhore Gai,Rathin Kisku
Ami Morechhi Ghure,Purna Das Baul All Time,Purnadas Baul
Ki Chamatkar Phal Go Guru Dhare Oi,Purna Das Baul All Time,Purnadas Baul
Ki Chamatkar Phal Go Guru Dhare Oi,,Purnadas Baul
O Knacha Hnarite Go,Purna Das Baul All Time,Purnadas Baul
Aagun Pani Batas Mati,Purnadas Baul And Manju,"Purnadas Baul, Manju Das, Subhendu Das, Dibyendu Das"
Bhaktir Duare Bandha Achhen Sain,Purnadas Baul And Manju,Purnadas Baul
Jete Sadh Hoy Re Kashi,Purnadas Baul And Manju,Purnadas Baul
Krishna Bole Kande Kajan,Purnadas Baul And Manju,Manju Das
Nitai Pada-Kamal,Purnadas Baul And Manju,Purnadas Baul
Par Purusher Peerit Jodi,Purnadas Baul And Manju,Manju Das
Gauranga Balile Habe Pulak Shareer,Purnadas Baul Madhumakha,Purnadas Baul
Hari Balo Re Madhumakha,Purnadas Baul Madhumakha,Purnadas Baul
Jhap Dili Tor Babar Pukure,Rupsagarer,
Jhap Dili Tor Babar Pukure,Purnadas Baul Madhumakha,Purnadas Baul
Maran Karor Katha Shone Na,Purnadas Baul Madhumakha,"Dohar, Purnadas Baul"
Mon Chalo Ruper Nagare,Purnadas Baul Madhumakha,Purnadas Baul
Ma Go Ma Chhuti Deve Kabe,Purnadas Baul Madhumakha,Purnadas Baul
Majhi Giri Jani Bhalo,Sadher Lau Folk Various,
Majhi Giri Jani Bhalo,Purnadas Baul Madhumakha,Purnadas Baul
Sabar Tare Banchbo Mora,Purnadas Baul Madhumakha,Hori
"Prem Karo Rai, Manush Bujhe Go",Rabindra Nazrul Sukanter,Geeta Chowdhury
Aalkinare Nahor Gachhe,Rai Iman Chakraborty,Iman Chakraborty
Jamunari Kule Kule,Rai Iman Chakraborty,Iman Chakraborty
Kankhete Gagori Koinnya,Rai Iman Chakraborty,Iman Chakraborty
