Song,Film/Album,Artists
Ei To Amar Pratham Phagun Bela,Sagarika,Sandhya Mukherjee
Tabo Bijay Mukut Aajike Dekhi,Sagarika,Sandhya Mukherjee
Gahan Raati Ghanay,Salil Chowdhury,Sandhya Mukherjee
Thoi Thoi Shaon Elo Oi,,Sandhya Mukherjee
Thoi Thoi Shaon Elo Oi,Sandhya Mukherjee Songs,Sandhya Mukherjee
Ore O Bijan Raater Pakhi,Sandhya Mukherjee Songs,Sandhya Mukherjee
Haate Kono Kaaj Nei,Sandhya Mukherjee,Sandhya Mukherjee
Manasi Sejechhi Ami,Sandhya Mukherjee,Sandhya Mukherjee
Jodi Naam Dhore Tare Daki,Sandhya Sings For Salil,Sandhya Mukherjee
Harano Hiyar Nikunja Pathe,Sayitwith Flowers Love,Sandhya Mukherjee
Hoyto Abar Phire Aasbe Jakhan,Sera Pujor Gaan,Sandhya Mukherjee
Baro Derite Tumi Bujhle,Shree Shree Ramakrishna,Sandhya Mukherjee
Baro Derite Tumi Bujhle,Sera Pujor Gaan,Sandhya Mukherjee
Aar Dekona Sei Madhuname,Sera Shilpi Sera Gaan,Sandhya Mukherjee
O Katha Bolbo Na Shunbo Na Re,Sera Shilpi Sera Gaan,Sandhya Mukherjee
Nupurer Gunjane,Shilpi,Sandhya Mukherjee
Tumi Je Amar,Shilpi,Sandhya Mukherjee
Ogo Nararupi Bhagaban,Sandhya Mukherjee Songs,
Ogo Nararupi Bhagaban,Shree Shree Ramakrishna,Sandhya Mukherjee
Sreemati Sejechhe Abhisar Saje,Shudhu Ekti Bachhar,Sandhya Mukherjee
Kichhu Khushi Kichhu Nesha,Smritituku Thak,Sandhya Mukherjee
Moner Madhuri Mishaye,Smritituku Thak,Sandhya Mukherjee
Hoyto Kichhui Nahi Pabo,Solid Gold Shymal Mitra,Sandhya Mukherjee
Ei Je Bangla,Songs Of Kazi Nazrul Islam,Sandhya Mukherjee
Ei Je Bangla,Sonar Bangla,Hemanta Mukherjee
Mor Pratham Moner Mukul,Sabar Upare,Sandhya Mukherjee
Mor Pratham Moner Mukul,Songs Of Kazi Nazrul Islam,Sandhya Mukherjee
Duchokher Bristite Bhije Bhije,Sravan Sandhya,Sandhya Mukherjee
Dustu Hashi Misti Chaoa,Sravan Sandhya,Sandhya Mukherjee
Ogo Swapnabhramar,Surjyatapa,Sandhya Mukherjee
Akasher Astarage,Suryamukhi,Sandhya Mukherjee
Amar Jibane Nei Alo,Suryatoran,Sandhya Mukherjee
Ogo Akarun,Suryatoran,Sandhya Mukherjee
Prem To Jibane Ekbari Aase Hay,The Best Of,Sandhya Mukherjee
Prem To Jibane Ekbari Aase Hay,The Best Of Sandhya Mukherjee,Sandhya Mukherjee
Dhup Chirodin,Trijama,Sandhya Mukherjee
Keno E Hridoy,Nayika Sangbad,Sandhya Mukherjee
