Song,Film/Album,Artists
Ramkrishna Katha Kao,Se Je Tor Mantragaaathaa,Ramkumar Chatterjee
Tumi Amar Praner Thakur,Se Je Tor Mantragaaathaa,Madhuri Chatterjee
Tumi Nirmal Karo Mangal Kare,Sera Sharad Arghya,Pannalal Bhattacharya
Rupang Dehi - Stotra,Sharbani Ganguly Durga,Sarbani Ganguly
Sarbamangalamangalye - Stotra,Sharbani Ganguly Durga,Sarbani Ganguly
Aji Kamarpukure,Shree Shree Ramakrishna,Mahesh Ranjan Shome
Anande Mate,Shree Shree Ramakrishna,Debashis Dutta
Bhaba-Sagar-Taran-Karan He,Shree Shree Ramakrishna,Chorus
Chalo Mon Kamarpukur,Shree Shree Ramakrishna,Debashis Dutta
Jayotu Jayotu Ramkrishna,Shree Shree Ramakrishna,Debashis Dutta
Joy Joy Ramkrishna,Shree Shree Ramakrishna,Debashis Dutta
Jugarishi Jugabatar,,Debashis Dutta
Jugarishi Jugabatar,Shree Shree Ramakrishna,Debashis Dutta
Kolir Thakur Ramkrishna,Shree Shree Ramakrishna,Narayan Chatterjee
Nam Karo Nam Karo,Shree Shree Ramakrishna,Debashis Dutta
Pakhi Tui Thik Bose Thak,Shree Shree Ramakrishna,Mahesh Ranjan Shome
Ram Krishna Naam,Shree Shree Ramakrishna,Swapna Chakraborty
Ramkrishna Sharanam,Shree Shree Ramakrishna,Debashis Dutta
Tumi Bramha Ramkrishna,Shree Shree Ramakrishna,Mahesh Ranjan Shome
Tumi Kangaler Beshe Esechho Hori,Shree Shree Ramakrishna,Mahesh Ranjan Shome
Kalpatoru Tumi Praner Thakur,Shree Shree Ramakrishna,Hemanta Mukherjee
Joy Tara Joy Tara Bole,Shyama Mayer Charan,"Amrik Singh Arora, Party"
Mon Bhulona Kathar Chhale,Shyama Mayer Charan,Ramkumar Chatterjee
Tara Tara Tara Bole,Shyama Mayer Charan,"Mahesh Ranjan Shome, Ramkumar Chatterjee"
Tui Kar Upare Saday Kakhan,Se Je Tor Mantragaaathaa,"Banasree Sengupta, Jayanti Sen"
Tui Kar Upare Saday Kakhan,Shyama Mayer Charan,Pannalal Bhattacharya
Jago Ma Janani,Shyamasangeet,Ajoy Chakraborty
Jay Maa Janani,Shyamasangeet,Sreekumar Chatterjee
Ma Aachhen Aar Aami Aachhi,Shyamasangeet,Raghab Chatterjee
Ma Tor Kato Rango Dekhbo Bal,Shyamasangeet,"Ramkumar Chatterjee, Kumar Sanu"
Mon Kali Kali Bal,Shyamasangeet,Ramkumar Chatterjee
Ranga Paye Ranga Jaba,Shyamasangeet,Sreekumar Chatterjee
Shyama Ma To Kalo Noy,Shyamasangeet,Sreekumar Chatterjee
Tara Naame Dub De,Shyamasangeet,Sreekumar Chatterjee
Tui Je Kemon Dayamoyee,Shree Shree Ramakrishna,Pannalal Bhattacharya
Tui Je Kemon Dayamoyee,Shyamasangeet,Pannalal Bhattacharya
Tara Kon Aparadhe,Shyamasudha Tarangini,Ramkumar Chatterjee
Jay Jay Ram Jay,Sita,"Debashis Dutta, Banasree Sengupta, Jayanti Sen"
Ami Sakol Kajer Pai He Somoy,Sriram Bhaktibhabana,Chhabi Banerjee
Ami Sakol Kajer Pai He Somoy,Songs Of Rajanikanta Sen,Pannalal Bhattacharya
Shukla Nabami,Sriram Bhaktibhabana,Chhabi Banerjee
Sriram Nam,Sriram Bhaktibhabana,Chhabi Banerjee
Sriramchandra Kripalu,Sriram Bhaktibhabana,Chhabi Banerjee
Om Jabakusumsankasan,Suprobhat,Swagatalakshmi Dasgupta
Hori Hey Tumi Amar Sakal Habe Kabe,Tabu Tomare Daki Krishna,Krishna Chatterjee
"Kobe Trishita E Moru, Chhariya Jaibo",Tumi Nirmal Karo Songs Of,Pannalal Bhattacharya
Namah Shivae,Tushartirtha Amarnath,Birendrakrishna Bhadra
