Song,Film/Album,Artists
Isharon Isharon Men Dil Lenewale,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
Meri Jaan Balle Balle,Kashmir Ki Kali,"Asha Bhosle, Mohammed Rafi"
Phir Thes Lagi Dil Ko,Kashmir Ki Kali,Asha Bhosle
Mera Naam Hai Shabnam,Kati Patang,"Asha Bhosle, R.D. Burman"
Ae Lo Pyar Ke Din Aaye,Khel Khel Mein,"Asha Bhosle, Kishore Kumar"
Ek Main Aur Ek Tu,Khel Khel Mein,"Asha Bhosle, Kishore Kumar"
Khullam Khulla Pyar Karenge,Khel Khel Mein,"Asha Bhosle, Kishore Kumar"
Sapna Mera Toot Gaya,Khel Khel Mein,"Asha Bhosle, R.D. Burman"
Piya Bawri Piya Bawri,Khubsoorat,"Asha Bhosle, Ashok Kumar"
Sun Sun Sun Didi,Khubsoorat,Asha Bhosle
Bechara Dil Kya Kare,Khushboo,Asha Bhosle
Ghar Jayegi Tar Jayegi,Khushboo,Asha Bhosle
Aao Huzoor Tumko,Kismet,Asha Bhosle
Kajra Mohabbat Wala,Kismet,"Asha Bhosle, Shamshad Begum"
Kab Ke Bichhde Hue,Laawaris,"Asha Bhosle, Kishore Kumar"
Koi Aaya Dhadkan Kahti Hai,Lajwanti,Asha Bhosle
Koi Shahari Babu,Loafer,Asha Bhosle
Motiyon Ki Ladi Hoon Main,Loafer,Asha Bhosle
Jab Chhaye Mera Jadoo,Lootmaar,Asha Bhosle
Kya Ghazab Karte Ho Ji,Love Story,Asha Bhosle
Ye Ladki Zarasi Diwani Lagti Hai,Love Story,"Asha Bhosle, Amit Kumar"
Ankhon Ankhon Mein,Mahal,"Asha Bhosle, Kishore Kumar"
Yeh Duniyawale Poochhenge,Mahal,"Asha Bhosle, Kishore Kumar"
Chhap Tilak Sab Chhini Re,Main Tulsi Tere Aangan Ki,"Lata Mangeshkar, Asha Bhosle"
Chori Chori Solah Singar Karoongi,Manoranjan,Asha Bhosle
Ang Lag Ja Balma,Mera Naam Joker,Asha Bhosle
Teetar Ke Do Aage Teetar,Mera Naam Joker,"Asha Bhosle, Simi, Mukesh"
Jhoomka Gira Re,Mera Saaya,Asha Bhosle
Aao Na Gale Lag Jao Na,Mere Jeevan Saathi,Asha Bhosle
Jaiye Aap Kahan Jayenge,Mere Sanam,Asha Bhosle
Yeh Hai Reshmi Zulfon Ka Andhera,Mere Sanam,Asha Bhosle
Tauba Tauba Kya Hoga,Mr.Natwarlal,Asha Bhosle
Pyar Zindagi Hai,Muqaddar Ka Sikandar,Lata Mangeshkar
Aaj Rapat Jaayen To,Namak Halaal,"Kishore Kumar, Asha Bhosle"
