Song,Film/Album,Artists
Gagane Gagane Aapanar Mone,Hemanta Mukherjee,Hemanta Mukherjee
Mon Je Bale Chini Chini,Hemanta Mukherjee,Hemanta Mukherjee
Mone Holo Jeno Periye Elem Antabihin,Hemanta Mukherjee,Hemanta Mukherjee
Aj Khela Bhangar Khela,Hemanta Mukherjee Tagore,
Bahu Juger O Paar Hote,Hey Madhabi Dwidha Keno,Shyamal Mitra
E Ki Akulata Bhubane,,Bithin Banerjee
E Ki Akulata Bhubane,Hits Of 2007 Tagore Songs,Laisa Ahmed Lisa
O Amar Chander Alo,Hits Of 2007 Tagore Songs,Sudeshna Chatterjee
Pathik Meger Dal,Jai Din Sravana Din Jai,"Gautam Mitra, Chorus"
"Basanti, Hey Bhubanmohini",Jiban Chhabi Supratik Das,"Mita Huq, Supratik Das"
Pagla Haowar Badal,Kaan Pete Roi Lopamudra,Lopamudra Mitra
Tumi Kon Pathe Je Ele Pathik,Kabi Pronam Gaaner Surer,Kanika Banerjee
Aaji Ei Gandhabidhur Samirane,Kanika Banerjee Dinsesher,Kanika Banerjee
Chhaya Ghanaichhe Bone Bone,Khela,Paroma Banerjee
Aaj Ki Tahar Barata Pelo Re,Khelaghar Bnadhte Legechhi,Santosh Sengupta
Ogo Shephaliboner Moner Kamona,Khelaghar Bnadhte Legechhi,Santosh Sengupta
Pub-Haowate Dey Dola,Kholo Go Ankhi,Chinmoy Chatterjee
Brishtishesher Haowa,Legends Suchitra Mitra,Suchitra Mitra
Phal Phalabar Asha Ami,Madhur Milan,Sushil Mullick
Jodi Taare Nai Chini Go,Mone Rekho Tagore Songs,Lopamudra Mitra
Mamo Mon-Upabone Chale Abhisare,Moner Majhe Je Gaan Baaje,Rezwana Chowdhury Bannya
Tomar Bas Kotha Je Pathik Ogo,Moner Majhe Je Gaan Baaje,Rezwana Chowdhury Bannya
Shesh Gaaneri Resh Niye Jao Chole,Moner Majhe Je Gaan Baaje,Rezwana Chowdhury Bannya
Aaji Kamalmukuldal Khulilo,Naba Basante Tagore Songs,Indrani Sen
Ei Moumachhider Gharchhara,Naba Basante Tagore Songs,"Shyamal Mitra, Bithin Banerjee"
Eto Din Je Bose Chilem,Naba Basante Tagore Songs,Swagatalakshmi Dasgupta
Jharo Jharo Jharo Jharo Jhare Ranger,,Sudeshna Chatterjee
Jharo Jharo Jharo Jharo Jhare Ranger,Naba Basante Tagore Songs,Gautam Mitra
Ogo Dakhinhaowa,Naba Basante Tagore Songs,Mita Huq
Ore Bhai Phagun Legechhe,Naba Basante Tagore Songs,Santanu Roychowdhury
Purbachaler Pane Takai,Naba Basante Tagore Songs,"Mullick, Geeta Sen"
Sahasa Dalpala,Naba Basante Tagore Songs,Lopamudra Mitra
Aaj Nabin Megher Sur Legechhe,Nabin Megher Sur Subir Sen,Subir Sen
Ore Aay Re Tabe,Nabin Praner Basante,Santidev Ghosh
Pushpa Phute Kon Kunjabone,Nabin Praner Basante,Santidev Ghosh
Himer Raate Oi Gaganer,Natun Kore Pabo Bole,Supriti Ghosh
Andhar Ambare Prachanda Dambaru,Nibiro Dharar Majhe Aditi,Aditi Gupta
Basante Ki Shudhu,Nil Digante Sudeshna,Sudeshna Chatterjee
Rang Lagaley Bone,Nil Digante Sudeshna,Sudeshna Chatterjee
Aaj Dhaner Kshete,,Child Artiste
Aaj Dhaner Kshete,Nrityer Taletale Rabindra,Child Artiste
Ore Grihabasi Khol,,Child Artiste
Ore Grihabasi Khol,Nrityer Taletale Rabindra,Child Artiste
Sheeter Haoway Laglo Nachan,Nrityer Taletale Rabindra,Child Artiste
Megher Kole Rod Hesechhe,Nutan Jouboner Dut,Isheeta Ganguly
Aaj Taaler Boner Karotali,Nutan Pran Dao Suchitra,Suchitra Mitra
"Tomar Naam Jani Ne, Sur Jani",Nutan Pran Dao Suchitra,Suchitra Mitra
Eso Eso Hey Trishnar Jal,Oi Malatilata Dole,Sagar Sen
Oi Malatilata Dole,Oi Malatilata Dole,"Pankaj Kumar Mullick, Sagar Sen"
Kadamberi Kanan Gheri,Old Bengali Songs,Sumitra Sen
Timir Abagunthane Badan Taba Dhaki,Old Is Gold Pankaj Kumar,"Geeta Sen, Pankaj Kumar Mullick"
Amar Nayan Bhulano Ele,Panchishe Baishakh,Banani Ghosh
Amar Nayan Bhulano Ele,Panchishe Baishakh Rabindrashatabarsher Smarak,Banani Ghosh
"Shyamal Chhaya, Naiba Gele",Panchishe Baishakh,Utpala Sen
"Shyamal Chhaya, Naiba Gele",Panchishe Baishakh Rabindrashatabarsher Smarak,Utpala Sen
Srabaner Gaganer Gay,Path O Prasad,"Arundhati Holme, Chowdhury, Others"
Hemante Kon Basanteri Bani,Pijushkanti Sarkar Bhaaber,Pijushkanti Sarkar
Mamo Antar Udase,Prakiti Rabindra Sangeet,Bani Tagore
Aaj Pratham Phuler Pabo,Prakiti Rabindra Sangeet,Sumitra Sen
Badal Baul Bajay Re Ektara,Prakiti Rabindra Sangeet,Tarit Chowdhury
Madhyadine Jobe Gaan,Prakiti Rabindra Sangeet,Pratima Mukherjee
Nibir Megeher Chhayay,Prakiti Rabindra Sangeet,Prasun Banerjee
Utal Dharay Badal Jhare,Prakiti Rabindra Sangeet,Banani Ghosh
Madhur Basanta Esechhe,Prem Esechhilo,Sagar Sen
Phaguner Shuru Hotei Shukno Pata,Prem O Prakriti,Sumitra Roy
Puratanke Biday Dile Na Je,Rabindra Sangeet 4,Chinmoy Chatterjee
Jharo Jharo Barishe Baridhara,Rabindra Sangeet Bengali,Chorus
O Asharher Purnima Amar,Rabindra Sangeet,Suchitra Mitra
Bakul Bokuler Phool,Rabindra Sangeet,Sumitra Roy
Shukno Pata Ke Je,Rabindra Sangeet,Suchitra Mitra
