Song,Film/Album,Artists
Bonotal Phule Phule Dhaka,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Ekgochha Rajonigandha,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Megh Kalo Andhar Kalo,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Tarpar Tar Aar Par Nei,Kato Raginir Bhul Bhangate,Hemanta Mukherjee
Kotha Kotha Khunjechhi Tomay,Kotha Kotha Khunjechhi,Asha Bhosle
Shono Kono Ekdin,Kotha Koyonako Shudhu,Hemanta Mukherjee
Tumi Rabe Nirabe,Hits Of Lata Mangeshkar,Hemanta Mukherjee
Tumi Rabe Nirabe,Kuheli,Hemanta Mukherjee
Gyaner Bodhu,Legend Hemanta Mukherjee,Hemanta Mukherjee
Abaak Prithibi,Live At Salt Lake Stadium,Hemanta Mukherjee
Jakhan Keu Amake Pagol Bale,Live At Salt Lake Stadium,Manna Dey
Takhon Tomar Ekush Bachhar,Live At Salt Lake Stadium,Arati Mukherjee
Ek Palaker Ektu Dekha,Lukochuri,Kishore Kumar
Ek Palaker Ektu Dekha,Ga Gare Sandhya Mukherjee,Hemanta Mukherjee
Muchhe Jaoa Dinguli,Lukochuri,Hemanta Mukherjee
Shing Nei Tobu Naam Tar Singha,Lukochuri,Kishore Kumar
Shudhu Ektukhani Chaoa,Lukochuri,"Kishore Kumar, Geeta Dutt"
Ami Taar Thikana Rakhini,Manna Dey Sabai To,Manna Dey
Baje Go Beena,Marjinna Abdulla,Manna Dey
Mone Pore Ruby Roy,Emon Diney Taare Bola Jaay,Manna Dey
Mone Pore Ruby Roy,Millennium,R.D.Burman
Ogo Kajal Nayana Harini,Mon Niye,Hemanta Mukherjee
Asharh Sraban Mane Na To Mon,Monihar,Lata Mangeshkar
Ke Jeno Go Dekechhe Amay,Monihar,Hemanta Mukherjee
Nijhum Sandhaye Pantha,Monihar,"Shyamal Mitra, Lata Mangeshkar"
Oi Anka Banka Je Path,More Gems From Bengal,Shyamal Mitra
Moner Janala Dhore Unki Diye,More Gems From,Hemanta Mukherjee
Naam Rekhechhi Bonolata,More Gems From,Shyamal Mitra
Pather Klanti Bhule,Morutirtho Hinglaj,Hemanta Mukherjee
Tomar Bhubone Mago,Morutirtho Hinglaj,Hemanta Mukherjee
Besh Korechhi Prem,Mouchak,Asha Bhosle
Bibhabari Jago,Naba Rupe Eso,Nachiketa Chakraborty
Briddhashram,Naktala Udayan Sangha,Nachiketa Chakraborty
E Mon Byakul Jakhon Takhan,Naktala Udayan Sangha,Nachiketa Chakraborty
Priyotama Mone Rekho,Naktala Udayan Sangha,Kumar Sanu
Sedino Akashe Chhilo Kato Tara,Naktala Udayan Sangha,Kishore Kumar
Sei Raate Raat Chhilo Purnima,Naktala Udayan Sangha,Kishore Kumar
Sraban Ghanay,Naktala Udayan Sangha,Nachiketa Chakraborty
Tumi Ashbe Bole,Naktala Udayan Sangha,Nachiketa Chakraborty
Ami Gaan Shonabo,Natun Jiban,Hemanta Mukherjee
Lajboti Nupurer Rini,Natun Jiban,Hemanta Mukherjee
Ki Mishti Dekho Mishti,Nayeeka Sangbad,Sandhya Mukherjee
Neel Akasher Niche,Neel Akasher Neeche,Hemanta Mukherjee
"O Nadire, Ekti Katha",Neel Akasher Neeche,Hemanta Mukherjee
Aaj Aloker Ei Jharnadharay,Niti Nritye Swagatalakshmi,Swagatalakshmi Dasgupta
Jhiri Jhiri Chaitali Batase,Oi Sur Bhara Dur Nilimai,Geeta Dutt
Krishnachura Agun Tumi,Oi Sur Bhara Dur Nilimai,Geeta Dutt
Oi Sur Bhora Dur Neelimay,Oi Sur Bhara Dur Nilimai,Geeta Dutt
Jibanpurer Pathik Re Bhai,Palatak,Hemanta Mukherjee
Anek Jamano Byatha,Pathe Holo Deri,Sandhya Mukherjee
Anek Jamano Byatha,Parabat Priya,Kishore Kumar
Aro Kichhu Khan Na Hoy Rahite Kachhe,Pathe Holo Deri,Sandhya Mukherjee
"Jeyo Na, Dnarao Bondhu",Phuleshwari,Hemanta Mukherjee
