Song,Film/Album,Artists
Andhar Raate Ekla Pagol,Sanchayan Swagatalakshmi,Swagatalakshmi Dasgupta
Ulangini Naache Ranarange,Sanchayan Swagatalakshmi,
Nitya Tomar Je Phul Phote,Sanchayan Hemanta,
Maroner Mukhe Rekhe,Sera Shilpi Sera Gaan,Hemanta Mukherjee
Chokher Aloy Dekhechhilem,Sivaji Chatterjee And,Sivaji Chatterjee
Chokher Aloy Dekhechhilem,Sivaji Chatterjee And Arundhati Home Chowdhury,Sivaji Chatterjee
Ami Tomay Jato Shuniyechhilem Gaan,Song For Rabindra,
Tumi Nabo Nabo Rupe Eso Prane,Songs Of Rabindranath,Arati Mukherjee
Amar Sure Lage Tomar Hasi,Songs Of Rabindranath,Chinmoy Chatterjee
Aar Nahe Aar Nahe,Songs Of Rabindranath,Dwijen Mukherjee
Danriye Achho Tumi Amar Gaaner Opare,Sanchayan Mohan Singh,Kanika Banerjee
Danriye Achho Tumi Amar Gaaner Opare,Songs Of Rabindranath,Kanika Banerjee
Ami Achhi Tomar Sabhar Duardeshe,Songs Of Rabindranath,Sagar Sen
Pratidin Tabo Gatha,Songs Of Rabindranath,Sagar Sen
Amar Hiyar Majhe Lukiye Chhile,Songs Of Rabindranath,Sagar Sen
Achena Ke Bhoy Ki Amar Ore,Songs Of Rabindranath,Hemanta Mukherjee
E Parabase Rabe Ke,Srabana Bhattacharya,Srabana Bhattacharya
Tumi Je Surer Agun Lagiye Dile,Sreeradha Banerjee Tomar,Sreeradha Banerjee
Ami Taarei Khunje Berai,Suchitra And Amjad Tribute,Roma Mondal
Dirgha Jibanpath,Suchitra Mitra Tabu,"Rezwana Chowdhury Bannya, Suchitra Mitra"
Amar Je Gaan Tomar Parash Pabe,Sudha Mukhopadhyay,"Suroloker Sur, Sudha Mukherjee"
Sandhya Holo Go - O Ma,Sudurer Piyasi Hemanta,Hemanta Mukherjee
Aaji Bijan Ghare,Suman And Lopamudra,Lopamudra Mitra
Barisha Dhara Majhe,Surer Kheya Rezwana,Rezwana Chowdhury Bannya
Bhor Holo Bibhabari,Surer Kheya Rezwana,Rezwana Chowdhury Bannya
Arup Tomar Bani,Surey Surey Sur Melate,Hemanta Mukherjee
Aguner Parashmoni Chhonwao Prane,Surey Surey Sur Melate,Hemanta Mukherjee
Amar Mukher Kathaa,Susanta Mukhopadhyay,Susanta Mukherjee
